id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,compression_ratio_pct,latency_ms,original_words,summary_words
18200899,0.17721518987341772,0.6363636363636364,0.27722772277227725,0.0641025641025641,0.23809523809523808,0.10101010101010101,0.11392405063291139,0.4090909090909091,0.1782178217821782,69.17,2.7,253,78
37911135,0.05263157894736842,0.3333333333333333,0.09090909090909091,0.010638297872340425,0.07142857142857142,0.018518518518518517,0.031578947368421054,0.2,0.05454545454545455,66.06,2.8,277,94
21107631,0.11235955056179775,0.4,0.1754385964912281,0.022727272727272728,0.08333333333333333,0.03571428571428572,0.07865168539325842,0.28,0.12280701754385967,68.75,2.6,272,85
33585129,0.13157894736842105,0.17857142857142858,0.15151515151515152,0.02702702702702703,0.037037037037037035,0.03125,0.07894736842105263,0.10714285714285714,0.09090909090909091,79.12,2.2,182,38
39593375,0.06818181818181818,0.3157894736842105,0.11214953271028037,0.0,0.0,0.0,0.056818181818181816,0.2631578947368421,0.09345794392523364,67.53,2.6,271,88
32259019,0.041474654377880185,0.5294117647058824,0.07692307692307691,0.023148148148148147,0.3125,0.043103448275862065,0.041474654377880185,0.5294117647058824,0.07692307692307691,64.48,4.4,611,217
33482210,0.0761904761904762,0.5,0.13223140495867772,0.009615384615384616,0.06666666666666667,0.01680672268907563,0.047619047619047616,0.3125,0.08264462809917356,73.32,3.2,386,103
35578864,0.1044776119402985,0.6666666666666666,0.18064516129032257,0.05263157894736842,0.35,0.0915032679738562,0.08955223880597014,0.5714285714285714,0.15483870967741933,56.35,2.8,307,134
36009544,0.125,0.5882352941176471,0.20618556701030927,0.0379746835443038,0.1875,0.06315789473684211,0.075,0.35294117647058826,0.12371134020618556,59.24,2.4,184,75
39221421,0.05714285714285714,0.5555555555555556,0.10362694300518134,0.017241379310344827,0.17647058823529413,0.031413612565445025,0.04,0.3888888888888889,0.07253886010362695,66.86,4.2,510,169
32206814,0.06666666666666667,0.47058823529411764,0.11678832116788321,0.0,0.0,0.0,0.058333333333333334,0.4117647058823529,0.1021897810218978,64.35,3.0,331,118
40954441,0.1,0.5,0.16666666666666669,0.011235955056179775,0.058823529411764705,0.018867924528301886,0.06666666666666667,0.3333333333333333,0.1111111111111111,68.71,2.7,278,87
36249174,0.13821138211382114,0.7083333333333334,0.23129251700680273,0.08196721311475409,0.43478260869565216,0.1379310344827586,0.11382113821138211,0.5833333333333334,0.1904761904761905,58.92,3.1,297,122
37617000,0.10344827586206896,0.12,0.11111111111111112,0.0,0.0,0.0,0.06896551724137931,0.08,0.07407407407407408,86.64,2.6,217,29
34856885,0.07048458149779736,0.6956521739130435,0.12800000000000003,0.008849557522123894,0.09090909090909091,0.016129032258064516,0.04405286343612335,0.43478260869565216,0.08,61.9,4.5,588,224
11926406,0.1,0.6538461538461539,0.17346938775510207,0.029585798816568046,0.2,0.05154639175257732,0.07647058823529412,0.5,0.1326530612244898,85.99,7.3,1206,169
28263327,0.06470588235294118,0.4583333333333333,0.1134020618556701,0.0,0.0,0.0,0.041176470588235294,0.2916666666666667,0.07216494845360824,68.05,3.8,532,170
34928569,0.02976190476190476,0.3333333333333333,0.0546448087431694,0.005988023952095809,0.07142857142857142,0.011049723756906077,0.023809523809523808,0.26666666666666666,0.04371584699453552,77.43,4.7,740,167
32841855,0.024390243902439025,0.06666666666666667,0.03571428571428571,0.0,0.0,0.0,0.024390243902439025,0.06666666666666667,0.03571428571428571,67.77,2.1,121,39
33861080,0.06796116504854369,0.3684210526315789,0.11475409836065571,0.00980392156862745,0.05555555555555555,0.016666666666666666,0.04854368932038835,0.2631578947368421,0.0819672131147541,68.4,2.9,307,97
35782996,0.10476190476190476,0.5238095238095238,0.17460317460317462,0.009615384615384616,0.05,0.016129032258064516,0.06666666666666667,0.3333333333333333,0.1111111111111111,68.81,3.1,327,102
28994193,0.11510791366906475,0.5714285714285714,0.1916167664670659,0.021739130434782608,0.1111111111111111,0.03636363636363637,0.07194244604316546,0.35714285714285715,0.11976047904191617,68.71,3.7,441,138
38113154,0.0967741935483871,0.2727272727272727,0.14285714285714285,0.04918032786885246,0.14285714285714285,0.07317073170731707,0.0967741935483871,0.2727272727272727,0.14285714285714285,90.68,4.4,665,62
